"보은군","계","합계",8066,3764,1699,19,72,43,20,,14,17985
"옥천군","계","합계",11044,6975,2479,12,60,50,3,2,20,28593
"영동군","계","합계",9208,7546,3097,43,90,20,43,52,45,28127
"진천군","계","합계",10379,9222,3918,47,212,111,81,,55,40039
"괴산군","계","합계",7756,6126,2401,17,102,87,176,9,21,19858
"음성군","계","합계",14920,12921,9014,91,139,132,55,,57,53386
"단양군","계","합계",6622,4905,1194,3,60,5,16,9,32,15308
"증평군","계","합계",6395,5097,2338,10,40,39,36,,58,20974
"충청남도","계","합계",277823,416916,124602,2189,3972,2798,1218,126,2448,1180400
"천안시","계","합계",73422,118010,37984,389,518,714,509,35,865,367224
"동남구","계","합계",35994,52226,16980,262,233,389,248,13,375,157838
"서북구","계","합계",37428,65784,21004,127,285,325,261,22,490,209386
"공주시","계","합계",20841,20989,5453,67,328,189,72,27,116,61985
"보령시","계","합계",12804,22277,4209,72,227,103,49,7,175,57780
"아산시","계","합계",37371,57135,18696,227,198,522,253,14,352,185014
"서산시","계","합계",20755,31530,10676,32,474,199,72,5,65,98475
"논산시","계","합계",19823,27313,7544,344,227,103,96,15,293,62704
"계룡시","계","합계",6321,10476,4090,216,73,80,3,10,102,16463
"당진시","계","합계",17571,35656,13019,47,477,412,30,,132,88422
"금산군","계","합계",11290,10867,2025,407,178,24,10,2,30,28882
"부여군","계","합계",10715,17172,3238,35,142,79,7,,38,35143
"서천군","계","합계",5112,15664,3162,144,102,62,4,7,52,28385
"청양군","계","합계",6696,4377,1203,41,134,17,30,,56,18117
"홍성군","계","합계",14521,16870,4208,128,179,59,38,,80,54885
"예산군","계","합계",13103,16502,6058,40,248,163,32,4,57,42415
"태안군","계","합계",7478,12078,3037,,467,72,13,,35,34506
"전라북도","계","합계",152742,480150,132948,27010,3573,2209,1527,141,1940,980051
"전주시","계","합계",45457,178080,63807,6257,695,1008,851,4,579,346497
"완산구","계","합계",24613,102659,35721,3645,402,400,601,,278,191312
"덕진구","계","합계",20844,75421,28086,2612,293,608,250,4,301,155185
"군산시","계","합계",18004,80414,18127,1666,309,261,93,3,85,146635
"익산시","계","합계",19810,87113,18316,11934,342,400,110,19,318,154705
"정읍시","계","합계",11447,23494,4798,1925,231,94,62,,313,64264
"남원시","계","합계",11075,16376,3095,796,307,52,31,15,133,46608
"김제시","계","합계",9315,24412,4909,971,220,74,252,5,178,40869
"완주군","계","합계",7863,26718,8400,527,158,99,50,,108,48102
"진안군","계","합계",2547,4419,2424,508,64,18,,,11,12324
"무주군","계","합계",3785,4969,1031,164,160,16,17,2,20,12781
"장수군","계","합계",3957,3586,1468,143,146,29,,,19,11599
"임실군","계","합계",2851,5993,1000,726,117,30,27,,9,14509
"순창군","계","합계",2924,4454,1187,105,66,20,21,2,37,17220
"고창군","계","합계",7711,9583,1952,781,401,58,3,1,65,33429
"부안군","계","합계",5996,10539,2434,507,357,50,10,90,65,30509
"전라남도","계","합계",189332,404287,97533,5554,6980,1688,1377,119,2061,1032568
"목포시","계","합계",17445,60309,20116,236,310,238,112,,409,134070
"여수시","계","합계",26779,70660,12314,371,464,207,670,28,331,153802
"순천시","계","합계",24311,66814,13221,379,657,267,108,10,358,153171
"나주시","계","합계",10520,15773,6286,112,503,127,32,4,177,55570
"광양시","계","합계",16671,31292,6495,90,250,127,87,7,201,85352
"담양군","계","합계",5314,7352,2443,456,267,62,42,,57,26035
"곡성군","계","합계",3271,6069,1082,245,140,42,25,2,25,16971
"구례군","계","합계",4497,3092,2647,264,101,20,1,,27,13403
"고흥군","계","합계",8674,13818,2279,214,400,15,5,,25,35483
"보성군","계","합계",4819,8893,1802,91,283,13,16,,24,23817
"화순군","계","합계",8240,12212,3061,113,279,34,17,,82,35597
"장흥군","계","합계",5269,7051,1462,122,490,23,15,,23,21454
"강진군","계","합계",5361,7299,1313,52,294,11,15,2,8,19884
"해남군","계","합계",9271,14630,2002,122,1021,86,28,8,19,39747
"영암군","계","합계",6706,9988,2507,124,242,55,55,8,88,34859
"무안군","계","합계",6502,20511,6702,207,351,74,56,22,63,43430
"함평군","계","합계",3468,7592,2159,64,152,41,12,1,40,16778
"영광군","계","합계",6539,9160,2051,1941,91,26,31,,39,29703
"장성군","계","합계",4694,8217,2840,105,319,63,35,,12,23921
"완도군","계","합계",4986,8570,1431,127,134,20,10,,37,31137
"진도군","계","합계",4506,4199,1356,15,119,59,,2,,18017
"신안군","계","합계",1489,10786,1964,104,113,78,5,25,16,20367
"경상북도","계","합계",654091,345238,135299,1644,5534,3051,2836,278,6334,1435737
"포항시","계","합계",120800,82882,26741,381,492,750,450,16,1649,264436
"남구","계","합계",60590,34678,13238,183,283,448,269,16,752,126238
"북구","계","합계",60210,48204,13503,198,209,302,181,,897,138198
"경주시","계","합계",84899,27560,9449,206,480,299,254,8,437,124360
"김천시","계","합계",28478,20796,10109,46,233,161,121,14,170,73649
"안동시","계","합계",40471,20454,5959,201,827,61,82,7,350,96836
"구미시","계","합계",79881,45370,19794,144,408,525,620,75,713,261099
"영주시","계","합계",27347,17131,3457,66,301,71,128,,183,58298
"영천시","계","합계",28226,9218,4576,42,245,140,90,52,315,50134
"상주시","계","합계",26004,12776,6338,84,285,197,153,21,411,50361
"문경시","계","합계",19800,9381,4114,14,166,95,37,20,58,36586
"경산시","계","합계",60848,37634,17945,97,239,201,291,17,937,148525
"군위군","계","합계",6063,3038,737,27,158,38,18,,24,11009
"의성군","계","합계",13175,7910,2396,46,255,38,14,11,81,25720
"청송군","계","합계",5785,4462,640,7,82,13,10,1,34,13129
"영양군","계","합계",4155,1881,481,19,49,14,24,,5,9759
"영덕군","계","합계",9157,5203,1193,2,144,15,119,18,54,19401
"청도군","계","합계",17254,3943,1564,17,97,50,29,,208,16999
"고령군","계","합계",10103,3178,2042,21,69,47,66,12,82,15981
"성주군","계","합계",13281,3782,2595,46,135,106,41,,48,18885
"칠곡군","계","합계",25491,10800,9775,71,79,158,203,5,205,69498
"예천군","계","합계",13500,4570,1488,2,236,39,24,,85,21716
"봉화군","계","합계",7811,4925,1152,22,181,12,19,,69,16787
"울진군","계","합계",10254,5806,1836,79,353,20,39,1,199,28916
"울릉군","계","합계",1308,2538,918,4,20,1,4,,17,3653
"경상남도","계","합계",941750,334671,132817,4255,5954,2786,3366,254,9919,1764435
"진주시","계","합계",106013,30973,15293,561,538,316,315,20,1194,184943
"통영시","계","합계",40057,14926,4161,193,209,99,99,,542,70315
"사천시","계","합계",35298,11759,3689,133,227,168,98,,375,56528
"김해시","계","합계",137689,58068,19589,730,383,237,583,,1300,286923
"밀양시","계","합계",37470,9245,4026,131,85,40,73,9,194,48173
"거제시","계","합계",55512,33664,11563,196,395,121,179,,579,143864
"양산시","계","합계",80882,30624,11982,238,339,144,370,9,886,161600
"창원시","계","합계",287519,101821,46905,1399,1136,812,1171,177,3031,579620
"의창구","계","합계",69390,22603,9802,338,147,167,286,13,598,143375
"성산구","계","합계",53960,22152,11122,262,306,209,361,31,380,137183
"마산합포구","계","합계",56838,15546,8928,414,283,156,216,113,968,90686
"마산회원구","계","합계",64607,18955,7576,231,248,187,235,12,557,110394
